symbol,calculation_timestamp,data_quality,trading_days,data_start_date,data_end_date,max_drawdown_3y,max_drawdown_peak_date,max_drawdown_trough_date,max_drawdown_recovery_days,max_drawdown_recovered,current_drawdown,sortino_ratio,calmar_ratio,var_95_daily,cvar_95_daily,var_95_monthly,cvar_95_monthly,beta,upside_capture,downside_capture,volatility_1y,volatility_3y,meets_mdd_threshold
J,2026-01-26T10:31:35.570936,COMPLETE,1254,2021-01-26,2026-01-23,-0.26370757180156656,2021-11-24,2022-09-30,503.0,True,-0.15941233845403566,0.9048,0.8008,-0.0247,-0.0367,,,0.9,0.89,0.9,0.26965192196121124,0.2471283524853972,True
JNJ,2026-01-26T10:31:35.587381,COMPLETE,1254,2021-01-26,2026-01-23,-0.184133085099994,2022-04-25,2023-10-27,635.0,True,0.0,1.3693,1.0919,-0.0158,-0.0227,,,0.211,0.223,0.149,0.19430231616977475,0.16745500449489978,True
KMI,2026-01-26T10:31:35.620973,COMPLETE,1254,2021-01-26,2026-01-23,-0.20350241545893716,2022-06-07,2022-06-17,642.0,True,-0.011036789297658806,1.5027,1.4421,-0.0221,-0.033,,,0.613,0.601,0.458,0.2516357085708775,0.23019157506411295,True
KO,2026-01-26T10:31:35.624320,COMPLETE,1254,2021-01-26,2026-01-23,-0.17291455589327934,2022-04-21,2023-10-05,214.0,True,0.0,1.6195,1.2873,-0.0151,-0.0218,,,0.313,0.31,0.221,0.17811196102763474,0.15806964245734645,True
L,2026-01-26T10:31:35.634121,COMPLETE,1254,2021-01-26,2026-01-23,-0.26109189351782214,2022-04-20,2022-09-26,416.0,True,-0.05911694069831891,1.6312,1.0222,-0.02,-0.0275,,,0.656,0.662,0.565,0.18771299463248872,0.19850158145498376,True
LIN,2026-01-26T10:31:35.654816,COMPLETE,1254,2021-01-26,2026-01-23,-0.228149864341676,2021-12-31,2022-09-26,58.0,True,-0.06278278195176622,1.3145,1.0424,-0.0209,-0.0306,,,0.765,0.76,0.707,0.19090227473444857,0.20944296753717204,True
LNT,2026-01-26T10:31:35.664755,COMPLETE,1254,2021-01-26,2026-01-23,-0.2559151009046624,2022-08-17,2023-10-02,350.0,True,-0.038002015258384925,1.1865,0.819,-0.0202,-0.029,,,0.371,0.364,0.299,0.16973690076069384,0.19787295009901296,True
MA,2026-01-26T10:31:35.695419,COMPLETE,1254,2021-01-26,2026-01-23,-0.2825032258064517,2022-02-02,2022-10-12,264.0,True,-0.12145057594428069,0.9865,0.765,-0.0238,-0.0361,,,0.953,0.916,0.915,0.229792015515786,0.2406405782876529,True
MCD,2026-01-26T10:31:35.708974,COMPLETE,1254,2021-01-26,2026-01-23,-0.17223305704534378,2022-01-06,2022-03-10,160.0,True,-0.03253558579696536,1.4646,1.2342,-0.0164,-0.0235,,,0.401,0.44,0.378,0.18500097115442807,0.17148794366252332,True
MCK,2026-01-26T10:31:35.715674,COMPLETE,1254,2021-01-26,2026-01-23,-0.23907315437313365,2024-08-02,2024-09-26,155.0,True,-0.07678541279756883,2.1662,1.7266,-0.0205,-0.0319,,,0.304,0.449,0.138,0.22845284713560365,0.2297888375540533,True
MDLZ,2026-01-26T10:31:35.722419,COMPLETE,1254,2021-01-26,2026-01-23,-0.2913743293437887,2023-05-11,2026-01-07,,False,-0.19658825147888292,0.8998,0.5707,-0.019,-0.0278,,,0.359,0.329,0.328,0.22438296453382056,0.18978636108221147,True
MNST,2026-01-26T10:31:35.748256,COMPLETE,1254,2021-01-26,2026-01-23,-0.26639676113360317,2021-08-10,2022-03-08,142.0,True,0.0,1.1185,0.8783,-0.0219,-0.034,,,0.611,0.637,0.567,0.2335116419589466,0.23844204682407646,True
MO,2026-01-26T10:31:35.751480,COMPLETE,1254,2021-01-26,2026-01-23,-0.258295535927429,2022-05-06,2022-07-06,734.0,True,-0.05408708938120712,1.2275,1.0083,-0.0184,-0.0322,,,0.26,0.314,0.167,0.20332561849710998,0.20483985244809727,True
MRSH,2026-01-26T10:31:35.775040,COMPLETE,1254,2021-01-26,2026-01-23,-0.27075245725613273,2025-04-03,2025-11-06,,False,-0.24357809531675886,1.2381,0.8399,-0.0182,-0.0284,,,0.624,0.591,0.536,0.20605798202998157,0.19147713777802985,True
MSI,2026-01-26T10:31:35.788190,COMPLETE,1254,2021-01-26,2026-01-23,-0.2722448665692533,2021-12-29,2022-06-16,167.0,True,-0.19342142254709022,1.4927,1.0444,-0.0217,-0.0318,,,0.776,0.814,0.717,0.2318912678744737,0.22400600980704885,True
NI,2026-01-26T10:31:35.824113,COMPLETE,1254,2021-01-26,2026-01-23,-0.24772886093640809,2022-04-06,2023-10-02,284.0,True,-0.016315431679129976,1.5832,1.1161,-0.0207,-0.0296,,,0.459,0.493,0.353,0.2002799249721984,0.20091368166006116,True
NOC,2026-01-26T10:31:35.830807,COMPLETE,1254,2021-01-26,2026-01-23,-0.22280937740199844,2022-10-31,2023-10-05,354.0,True,0.0,1.2662,1.2826,-0.0206,-0.0364,,,0.24,0.318,0.127,0.28401882324067274,0.24593733958294184,True
